# EGS HST Catalogue
# From https://archive.stsci.edu/hlsp/candels/egs-catalogs
RA,Dec
215.3011028,53.0512456
215.267148,53.0275985
215.3032292,53.0529576
215.3038158,53.0534427
215.2787254,53.0359126
215.2661348,53.0271217
215.301035,53.0514299
215.3005439,53.0513632
215.3004965,53.0510985
215.2997336,53.0512011
215.2771429,53.0353845
215.2950668,53.0479874
215.2946848,53.047787
215.2999927,53.0513834
215.2991062,53.0510204
215.2994949,53.0513443
215.2783126,53.0367955
215.2937438,53.0474292
215.2406308,53.0099469
215.3030943,53.0543005
215.2987862,53.0513755
215.2023923,52.983836
215.2636233,53.0268101
215.2631184,53.026483
215.2753987,53.0351304
215.2416038,53.0107165
215.2585448,53.0235042
215.2838651,53.0412613
215.2779339,53.0367586
215.2567031,53.0225285
215.2589329,53.0241708
215.2907819,53.0465211
215.2641775,53.0272164
215.2660047,53.0292487
215.2052383,52.9867281
215.2549495,53.0217492
215.2274787,53.0019431
215.2476367,53.0166794
215.302587,53.0551874
215.2830093,53.0414121
215.281672,53.0406966
215.2900345,53.0464014
215.2539778,53.0213604
215.2630008,53.0277047
215.2220964,52.9990072
215.2934673,53.0482972
215.2593916,53.0252824
215.2830927,53.0419245
215.290831,53.0460791
215.2010056,52.9837431
215.298939,53.0523949
215.2546768,53.0220701
215.2935154,53.049545
215.2453412,53.015727
215.2939495,53.0498408
215.2987861,53.0532156
215.1898112,52.976883
215.2941474,53.0500249
215.3023936,53.0553805
215.2965572,53.0507707
215.2036988,52.9868063
215.2181197,52.9969238
215.2394313,53.0119178
215.3006282,53.0548142
215.1917632,52.9781451
215.1656832,52.9602539
215.2053018,52.9870459
215.2644044,53.0295896
215.2657457,53.0305638
215.2447952,53.0151334
215.3007684,53.0551222
215.2290848,53.0031491
215.2215219,52.9996543
215.2883224,53.0455622
215.2242236,53.00131
215.1863757,52.9750457
215.2006819,52.9851829
215.1849863,52.9741649
215.3005001,53.0551641
215.202004,52.9861794
215.1903621,52.9780986
215.2558463,53.0240453
215.2862157,53.0453358
215.2934129,53.050397
215.1912134,52.9788477
215.1842773,52.97397
215.221594,53.0000888
215.2837465,53.0436619
215.2999382,53.0550918
215.1883341,52.9768714
215.2471889,53.0179457
215.2580576,53.0259433
215.2771596,53.0393059
215.2057047,52.9892682
215.2635096,53.0296353
215.2961025,53.0526593
215.2644243,53.0300539
215.2896469,53.0481726
215.2996743,53.0552018
215.18758,52.9766518
215.2720146,53.0358405
215.272632,53.0357994
215.288489,53.0469669
215.2185632,52.9985598
215.2388152,53.0123832
215.2972008,53.0519081
215.2241047,53.0020514
215.2994779,53.0553145
215.248249,53.0194925
215.2471537,53.0185818
215.2400405,53.0139062
215.2636177,53.0302266
215.2372337,53.0120511
215.2947152,53.0523561
215.1836127,52.9746118
215.1885004,52.9781073
215.1619477,52.9593024
215.1488396,52.9499222
215.2730728,53.0357324
215.2444278,53.0155505
215.2857825,53.0464046
215.2581441,53.0268034
215.2965478,53.0539924
215.2817714,53.0426791
215.2195568,52.9995354
215.2446213,53.0176874
215.2418434,53.0157665
215.2757799,53.0393279
215.2159837,52.9977028
215.2767801,53.0396659
215.2840576,53.0447648
215.1902206,52.9796473
215.2523254,53.0223366
215.1286515,52.9362668
215.2418893,53.0159321
215.2644287,53.0316003
215.2409359,53.0153505
215.2774915,53.0399418
215.2453201,53.0182916
215.1132802,52.9255349
215.2550548,53.0253163
215.2812564,53.043661
215.1815026,52.9733174
215.0768718,52.9000058
215.2465185,53.019427
215.1629406,52.9586895
215.1507585,52.9512289
215.1825749,52.9743885
215.2481335,53.0197011
215.1515224,52.9525626
